Statistics for GP initial appoximation
GP	        vct	         dx	         dy	         dz
1	     18.263	     -0.509	     -2.396	     -3.502
2	     62.583	     -2.990	     -6.693	     -2.974
3	     79.892	     -2.197	     -3.323	     -8.001
4	      0.007	     -0.034	     -0.047	     -0.056
5	    234.869	     -9.422	     -7.545	     -9.443
6	    264.715	     -8.297	     -2.090	    -13.839
7	     77.585	     -1.603	     -1.305	     -8.562
8	     38.882	     -0.310	     -0.395	     -6.215
9	     89.177	     -3.770	     -4.048	     -7.653
10	     75.743	     -2.972	     -3.443	     -7.420
11	      0.043	      0.081	      0.170	     -0.088
12	      0.134	     -0.151	     -0.242	      0.230
13	      0.046	      0.024	      0.132	      0.167
14	      0.083	     -0.005	      0.125	      0.260
15	      0.083	     -0.005	      0.125	      0.260
16	     24.874	     -1.255	     -1.885	     -4.443
17	     10.233	     -0.039	     -0.494	     -3.160
18	     10.233	     -0.039	     -0.494	     -3.160
19	      0.001	      0.013	      0.025	      0.016
20	      0.001	      0.010	      0.020	      0.013
21	      0.001	      0.012	      0.024	      0.015
22	      0.001	      0.015	      0.029	      0.018
23	      0.038	      0.105	      0.163	     -0.010
24	      0.000	      0.007	      0.015	      0.010
25	      0.036	      0.102	      0.160	     -0.007
26	      0.001	      0.011	      0.022	      0.014
27	      0.003	      0.015	      0.037	      0.037
28	      0.047	      0.118	      0.182	     -0.016
29	      0.000	     -0.005	     -0.009	     -0.007
30	      0.000	      0.000	      0.001	      0.000
31	      0.008	      0.051	      0.076	     -0.001
32	      0.010	      0.056	      0.084	      0.000
33	      0.001	     -0.007	     -0.015	     -0.016
34	      0.001	     -0.008	     -0.021	     -0.031
35	      0.007	      0.047	      0.071	     -0.001
36	      0.000	      0.001	      0.003	      0.003
37	      0.000	      0.001	      0.001	      0.001
38	      0.008	      0.050	      0.072	      0.020
39	      0.000	      0.002	      0.004	      0.004
40	      0.000	      0.005	      0.009	      0.008
41	      0.010	      0.056	      0.080	      0.021
42	      0.008	      0.050	      0.070	      0.018
43	      0.000	      0.003	      0.005	      0.005
44	      0.000	     -0.003	     -0.007	     -0.009
